player_id,player_name,season,completions_total,attempts_total,passing_yards_total,passing_tds_total,interceptions_total,sacks_total,sack_yards_total,passing_air_yards_total,passing_yards_after_catch_total,passing_first_downs_total,carries_total,rushing_yards_total,rushing_tds_total,rushing_fumbles_total,rushing_first_downs_total,receptions_total,targets_total,receiving_yards_total,receiving_tds_total,receiving_air_yards_total,receiving_yards_after_catch_total,receiving_first_downs_total,fantasy_points_total,fantasy_points_ppr_total,games_played,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,sacks_avg,sack_yards_avg,passing_air_yards_avg,passing_yards_after_catch_avg,passing_first_downs_avg,passing_epa_avg,pacr_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,rushing_fumbles_avg,rushing_first_downs_avg,rushing_epa_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,receiving_yards_after_catch_avg,receiving_first_downs_avg,receiving_2pt_conversions_avg,racr_avg,target_share_avg,air_yards_share_avg,wopr_avg,fantasy_points_avg,fantasy_points_ppr_avg,position,green_zone_carries,HVTs,avg_pass_epa_deep_left,avg_pass_epa_deep_middle,avg_pass_epa_deep_right,avg_pass_epa_short_left,avg_pass_epa_short_middle,avg_pass_epa_short_right,avg_rec_epa_rec_deep_left,avg_rec_epa_rec_deep_middle,avg_rec_epa_rec_deep_right,avg_rec_epa_rec_short_left,avg_rec_epa_rec_short_middle,avg_rec_epa_rec_short_right,pct_targets_rec_deep_left,pct_targets_rec_deep_middle,pct_targets_rec_deep_right,pct_targets_rec_short_left,pct_targets_rec_short_middle,pct_targets_rec_short_right,total_tackled_for_loss,total_rb_carries,pct_carries_tackled_for_loss,routes,yprr,down_1_position,down_1_team,down_1_attempts,down_1_completions,down_1_passing_yards,down_1_passing_first_downs,down_1_carries,down_1_rushing_yards,down_1_rushing_first_downs,down_1_targets,down_1_receptions,down_1_receiving_yards,down_1_receiving_first_downs,down_1_team_carries_in_played_games,down_1_team_targets_in_played_games,down_1_team_receptions_in_played_games,down_1_team_rush_fd_in_played_games,down_1_team_rec_fd_in_played_games,down_1_games_played,down_1_team_carries_all_games,down_1_team_targets_all_games,down_1_team_receptions_all_games,down_1_yards_per_pass_attempt,down_1_yards_per_completion,down_1_yards_per_carry,down_1_yards_per_target,down_1_yards_per_reception,down_1_pass_attempts_per_game,down_1_completions_per_game,down_1_passing_yards_per_game,down_1_passing_first_downs_per_game,down_1_carries_per_game,down_1_rushing_yards_per_game,down_1_rushing_first_downs_per_game,down_1_targets_per_game,down_1_receptions_per_game,down_1_receiving_yards_per_game,down_3_position,down_3_team,down_3_attempts,down_3_completions,down_3_passing_yards,down_3_passing_first_downs,down_3_carries,down_3_rushing_yards,down_3_rushing_first_downs,down_3_targets,down_3_receptions,down_3_receiving_yards,down_3_receiving_first_downs,down_3_team_carries_in_played_games,down_3_team_targets_in_played_games,down_3_team_receptions_in_played_games,down_3_team_rush_fd_in_played_games,down_3_team_rec_fd_in_played_games,down_3_games_played,down_3_team_carries_all_games,down_3_team_targets_all_games,down_3_team_receptions_all_games,down_3_yards_per_pass_attempt,down_3_yards_per_completion,down_3_yards_per_carry,down_3_yards_per_target,down_3_yards_per_reception,down_3_pass_attempts_per_game,down_3_completions_per_game,down_3_passing_yards_per_game,down_3_passing_first_downs_per_game,down_3_carries_per_game,down_3_rushing_yards_per_game,down_3_rushing_first_downs_per_game,down_3_targets_per_game,down_3_receptions_per_game,down_3_receiving_yards_per_game,routes_per_game,TPRR,firstDPRR
00-0029263,Russell Wilson,2019,341,516,4110,31,5,48,319,4830,1723,190,75,342,3,3,17,0,0,0,0,0,0,0,328.6,328.6,16,21.312,32.25,256.875,1.938,0.312,3,19.938,301.875,107.688,11.875,5.487,0.903,4.688,21.375,0.188,0.188,1.062,-0.546,0,0,0,0,0,0,0,0,0,0,0,0,20.538,20.538,QB,4,NA,0.731,0.684,0.491,0.03,0.318,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,SEA,217,136,1521,64,34,123,4,0,0,0,0,258,217,136,30,64,16,258,217,136,7.009,11.184,3.618,0,0,13.562,8.5,95.062,4,2.125,3.618,0.25,0,0,0,QB,SEA,151,80,1085,53,8,72,4,0,0,0,0,49,151,80,26,53,16,49,151,80,7.185,13.562,9,0,0,9.438,5,67.812,3.312,0.5,9,0.25,0,0,0,NA,NA,NA
00-0029269,Travis Benjamin,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,30,0,207,19,3,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,3.2,6,0,41.4,3.8,0.6,0,0.178,0.079,0.117,0.2,0.6,1.8,WR,NA,NA,NA,NA,NA,NA,NA,NA,-0.279,-0.526,-0.611,-0.695,-0.323,0.92,0.062,0.062,0.188,0.5,0.125,0.062,NA,NA,NA,135,0.22,WR,LAC,0,0,0,0,0,0,0,10,5,28,3,37,78,50,3,25,4,218,237,164,0,0,0,2.8,5.6,0,0,0,0,0,NA,0,2.5,1.25,7,WR,LAC,0,0,0,0,0,0,0,3,0,0,0,3,22,12,3,10,2,34,160,86,0,0,0,0,0,0,0,0,0,0,NA,0,1.5,0,0,27,0.119,0.022
00-0029293,Marvin Jones,2019,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,62,91,779,9,1186,106,41,131.9,193.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,-0.123,4.769,7,59.923,0.692,91.231,8.154,3.154,0,0.679,0.202,0.279,0.499,10.146,14.915,WR,NA,NA,NA,NA,NA,NA,NA,NA,1.073,0.878,-0.001,-0.07,0.285,0.547,0.077,0.132,0.143,0.176,0.154,0.319,NA,NA,NA,509,1.53,WR,DET,0,0,0,0,1,-4,0,35,26,340,15,199,176,103,15,49,13,234,212,121,0,0,-4,9.714,13.077,0,0,0,0,0.077,-4,0,2.692,2,26.154,WR,DET,0,0,0,0,0,0,0,26,18,246,13,25,157,88,15,62,13,30,190,101,0,0,0,9.462,13.667,0,0,0,0,0,NA,0,2,1.385,18.923,39.154,0.179,0.081
00-0029319,Josh Bellamy,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,0,23,10,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,10,0,11.5,5,0.5,0,0.89,0.046,0.064,0.113,1,2,WR,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,-0.254,0.563,0,0,0,0,0.333,0.667,NA,NA,NA,33,0.61,WR,NYJ,0,0,0,0,0,0,0,1,1,15,1,10,16,12,1,4,1,203,205,124,0,0,0,15,15,0,0,0,0,0,NA,0,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,0.091,0.03
00-0029419,Dennis Kelly,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,6.1,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0.059,0.008,0.094,6.1,7.1,OL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,OL,TEN,0,0,0,0,0,0,0,1,1,1,1,21,6,5,5,4,1,267,174,105,0,0,0,1,1,0,0,0,0,0,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,0.5
00-0029492,Jamize Olawale,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.5,0,0,0,0,0.026,0.056,0.079,0,0,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0,RB,DAL,0,0,0,0,0,0,0,1,0,0,0,18,11,8,0,4,1,264,229,150,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,RB,DAL,0,0,0,0,0,0,0,1,0,0,0,2,13,5,1,5,1,51,153,88,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,18,0.056,0
00-0029567,Nick Foles,2019,77,117,736,3,2,8,60,990,354,31,4,23,0,0,2,0,0,0,0,0,0,0,37.74,37.74,4,19.25,29.25,184,0.75,0.5,2,15,247.5,88.5,7.75,-3.395,0.807,1,5.75,0,0,0.5,0.38,0,0,0,0,0,0,0,0,0,0,0,0,9.435,9.435,QB,NA,NA,0.37,0.268,0.064,0.319,-0.173,-0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,JAX,41,27,228,8,2,15,1,0,0,0,0,43,61,40,4,14,4,205,232,149,5.561,8.444,7.5,0,0,10.25,6.75,57,2,0.5,7.5,0.25,0,0,0,QB,JAX,37,23,305,14,1,3,1,0,0,0,0,7,49,31,5,17,4,46,174,88,8.243,13.261,3,0,0,9.25,5.75,76.25,3.5,0.25,3,0.25,0,0,0,NA,NA,NA
00-0029572,Jarius Wright,2019,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,28,58,296,0,618,89,16,28.9,56.9,16,0,0,0,0,0,0,0,0,0,0,0,0,0.062,-0.438,0,0,0,-0.113,1.75,3.625,18.5,0,38.625,5.562,1,0,0.644,0.097,0.112,0.224,1.806,3.556,WR,NA,NA,NA,NA,NA,NA,NA,NA,-0.444,0,-0.028,-0.097,-0.441,-0.614,0.069,0,0.224,0.207,0.138,0.362,NA,NA,NA,509,0.58,WR,CAR,0,0,0,0,0,0,0,17,9,93,4,118,166,93,13,55,9,222,263,152,0,0,0,5.471,10.333,0,0,0,0,0,NA,0,1.889,1,10.333,WR,CAR,0,0,0,0,0,0,0,22,8,94,5,27,135,55,10,41,12,32,175,78,0,0,0,4.273,11.75,0,0,0,0,0,NA,0,1.833,0.667,7.833,31.812,0.114,0.031
00-0029587,Rhett Ellison,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,167,1,146,83,4,22.7,40.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,2.8,16.7,0.1,14.6,8.3,0.4,0,1.891,0.08,0.054,0.158,2.27,4.07,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,1.31,TE,NYG,0,0,0,0,0,0,0,15,10,110,3,98,119,70,11,25,8,196,246,160,0,0,0,7.333,11,0,0,0,0,0,NA,0,1.875,1.25,13.75,TE,NYG,0,0,0,0,0,0,0,6,4,44,1,9,59,36,4,21,5,35,177,94,0,0,0,7.333,11,0,0,0,0,0,NA,0,1.2,0.8,8.8,12.7,0.22,0.031
00-0029604,Kirk Cousins,2019,307,444,3603,26,6,28,206,3391,1789,165,31,63,1,5,8,0,1,0,0,12,0,0,244.42,244.42,15,20.467,29.6,240.2,1.733,0.4,1.867,13.733,226.067,119.267,11,5.803,1.241,2.067,4.2,0.067,0.333,0.533,-0.411,0,0.067,0,0,0.8,0,0,0,0,0.002,0.003,0.006,16.295,16.295,QB,2,NA,0.511,0.981,0.65,0.225,0.308,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,QB,MIN,179,116,1372,45,13,5,0,0,0,0,0,233,179,116,24,45,15,250,185,121,7.665,11.828,0.385,0,0,11.933,7.733,91.467,3,0.867,0.385,0,0,0,0,QB,MIN,133,80,1006,59,9,37,5,1,0,0,0,51,134,80,20,59,15,52,142,84,7.564,12.575,4.111,0,0,8.867,5.333,67.067,3.933,0.6,4.111,0.333,0.067,0,0,0.067,1,0
00-0029608,T.Y. Hilton,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,68,501,5,697,213,24,80.1,125.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.8,50.1,0.5,69.7,21.3,2.4,0,1.379,0.237,0.343,0.595,8.01,12.51,WR,NA,NA,NA,NA,NA,NA,NA,NA,1.102,-1.087,-0.5,1.02,1.039,-0.057,0.059,0.029,0.147,0.338,0.044,0.382,NA,NA,NA,276,1.82,WR,IND,0,0,0,0,0,0,0,30,21,235,10,147,129,79,21,34,10,234,213,125,0,0,0,7.833,11.19,0,0,0,0,0,NA,0,3,2.1,23.5,WR,IND,0,0,0,0,0,0,0,19,12,164,7,31,82,44,21,30,9,47,160,87,0,0,0,8.632,13.667,0,0,0,0,0,NA,0,2.111,1.333,18.222,27.6,0.246,0.087
00-0029623,Alex Tanney,2019,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,1,1,1,1,0,0,0,0,1,0,0,-0.045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,QB,NA,NA,0,0,0,0,-0.045,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,NYG,1,1,1,0,0,0,0,0,0,0,0,3,8,4,2,3,1,35,177,94,1,1,0,0,0,1,1,1,0,0,NA,0,0,0,0,NA,NA,NA
00-0029632,Mohamed Sanu,2019,0,0,0,0,0,0,0,0,0,0,3,11,0,0,1,59,89,520,2,671,194,30,65.1,124.1,15,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.733,0,0,0.067,0.005,3.933,5.933,34.667,0.133,44.733,12.933,2,0,0.838,0.157,0.162,0.349,4.34,8.273,WR,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,-0.587,0.515,-0.149,0.542,0.141,0.045,0.079,0.022,0.36,0.247,0.247,NA,NA,NA,496,1.05,WR,NE,0,0,0,0,1,8,0,29,21,195,10,149,186,128,18,70,11,259,226,144,0,0,8,6.724,9.286,0,0,0,0,0.091,8,0,2.636,1.909,17.727,WR,NE,0,0,0,0,1,2,1,24,18,185,10,27,120,72,15,49,11,49,178,91,0,0,2,7.708,10.278,0,0,0,0,0.091,2,0.091,2.182,1.636,16.818,33.067,0.179,0.06
00-0029664,Josh Gordon,2019,0,1,0,0,1,0,0,33,0,0,1,1,0,0,0,27,47,426,1,518,149,16,46.7,73.7,11,0,0.091,0,0,0.091,0,0,3,0,0,-0.261,0,0.091,0.091,0,0,0,-0.053,2.455,4.273,38.727,0.091,47.091,13.545,1.455,0,1.132,0.122,0.161,0.296,4.245,6.7,WR,NA,NA,0,0,-2.873,0,0,0,0.178,1.889,4.729,-0.105,0.158,0.603,0.106,0.106,0.021,0.319,0.128,0.319,NA,NA,NA,299,1.42,WR,NE,0,0,0,0,1,1,0,15,9,74,2,102,87,62,12,27,6,259,226,144,0,0,1,4.933,8.222,0,0,0,0,0.167,1,0,2.5,1.5,12.333,WR,SEA,0,0,0,0,0,0,0,13,8,128,7,30,101,47,17,36,9,49,151,80,0,0,0,9.846,16,0,0,0,0,0,NA,0,1.444,0.889,14.222,27.182,0.157,0.054
00-0029665,Robert Griffin III,2019,23,38,225,1,2,5,19,282,84,10,20,61,0,0,4,0,0,0,0,0,0,0,15.1,15.1,6,3.833,6.333,37.5,0.167,0.333,0.833,3.167,47,14,1.667,-0.051,1.381,3.333,10.167,0,0,0.667,-2.28,0,0,0,0,0,0,0,0,0,0,0,0,2.517,2.517,QB,2,NA,0.811,2.488,-4.768,0.671,0.051,-0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,BAL,13,7,48,1,10,31,1,0,0,0,0,126,52,33,19,16,6,315,172,107,3.692,6.857,3.1,0,0,2.167,1.167,8,0.167,1.667,3.1,0.167,0,0,0,QB,BAL,13,6,91,5,5,19,2,0,0,0,0,22,34,23,9,20,5,75,112,63,7,15.167,3.8,0,0,2.6,1.2,18.2,1,1,3.8,0.4,0,0,0,NA,NA,NA
00-0029692,Bryan Anger,2019,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,-0.243,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0029701,Ryan Tannehill,2019,201,286,2742,22,6,31,212,2739,1224,126,43,185,4,1,14,0,0,0,0,0,0,0,224.18,224.18,12,16.75,23.833,228.5,1.833,0.5,2.583,17.667,228.25,102,10.5,5.332,0.976,3.583,15.417,0.333,0.083,1.167,1.303,0,0,0,0,0,0,0,0,0,0,0,0,18.682,18.682,QB,4,NA,0.755,1.2,-0.108,0.303,0.526,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,TEN,112,74,1133,44,22,113,5,0,0,0,0,202,130,82,29,52,12,267,174,105,10.116,15.311,5.136,0,0,9.333,6.167,94.417,3.667,1.833,5.136,0.417,0,0,0,QB,TEN,92,51,702,36,8,18,4,0,0,0,0,23,100,53,12,37,11,36,151,78,7.63,13.765,2.25,0,0,8.364,4.636,63.818,3.273,0.727,2.25,0.364,0,0,0,NA,NA,NA
00-0029738,Darren Fells,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,48,341,7,258,168,22,76.1,110.1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,3.2,22.733,0.467,17.2,11.2,1.467,0,1.855,0.096,0.06,0.187,5.073,7.34,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,1.09,TE,HOU,0,0,0,0,0,0,0,21,15,162,10,201,155,96,30,44,12,259,199,123,0,0,0,7.714,10.8,0,0,0,0,0,NA,0,1.75,1.25,13.5,TE,HOU,0,0,0,0,0,0,0,11,8,79,5,25,83,48,14,31,9,41,152,91,0,0,0,7.182,9.875,0,0,0,0,0,NA,0,1.222,0.889,8.778,20.933,0.153,0.07
00-0029764,Cody Davis,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,2,5,1,0.7,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,2,5,1,0,3.5,0.032,0.008,0.054,0.7,1.7,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
00-0029854,C.J. Anderson,2019,0,0,0,0,0,0,0,0,0,0,16,43,0,0,1,0,0,0,0,0,0,0,4.3,4.3,2,0,0,0,0,0,0,0,0,0,0,0,0,8,21.5,0,0,0.5,-3.492,0,0,0,0,0,0,0,0,0,0,0,0,2.15,2.15,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,0.188,NA,NA,RB,DET,0,0,0,0,9,24,0,0,0,0,0,34,29,19,2,10,2,234,212,121,0,0,2.667,0,0,0,0,0,0,4.5,2.667,0,0,0,0,RB,DET,0,0,0,0,2,-1,0,0,0,0,0,2,16,9,0,6,1,30,190,101,0,0,-0.5,0,0,0,0,0,0,2,-0.5,0,0,0,0,NA,NA,NA
00-0029857,Ryan Griffin,2019,2,4,18,0,0,0,0,12,13,1,4,-1,0,0,0,0,0,0,0,0,0,0,0.62,0.62,2,1,2,9,0,0,0,0,6,6.5,0.5,-0.312,0.75,2,-0.5,0,0,0,-1.233,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.31,QB,NA,NA,0,0,0,-1.57,0.039,0.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,1.12,QB,TB,0,0,0,0,1,-1,0,0,0,0,0,17,14,9,0,6,1,249,247,132,0,0,-1,0,0,0,0,0,0,1,-1,0,0,0,0,QB,TB,2,1,13,1,1,0,0,0,0,0,0,6,23,15,2,13,2,50,167,93,6.5,13,0,0,0,1,0.5,6.5,0.5,0.5,0,0,0,0,0,142.5,0,0
00-0029892,Kyle Juszczyk,2019,0,0,0,0,0,0,0,0,0,0,3,7,0,0,1,20,24,239,1,134,157,11,30.6,50.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.778,0,0,0.111,-0.11,2.222,2.667,26.556,0.111,14.889,17.444,1.222,0,2.802,0.081,0.072,0.172,3.4,5.622,RB,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.333,117,2.04,RB,SF,0,0,0,0,1,-1,0,15,12,197,7,132,110,73,19,44,8,282,179,115,0,0,-1,13.133,16.417,0,0,0,0,0.125,-1,0,1.875,1.5,24.625,RB,SF,0,0,0,0,1,6,0,3,3,14,2,10,24,15,5,12,3,57,143,90,0,0,6,4.667,4.667,0,0,0,0,0.333,6,0,1,1,4.667,13,0.205,0.094
00-0029931,Zach Line,2019,0,0,0,0,0,0,0,0,0,0,7,20,0,0,5,6,10,36,0,31,45,1,5.6,11.6,8,0,0,0,0,0,0,0,0,0,0,0,0,0.875,2.5,0,0,0.625,0.155,0.75,1.25,4.5,0,3.875,5.625,0.125,0,0.425,0.034,0.017,0.062,0.7,1.45,RB,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,69,0.52,RB,NO,0,0,0,0,1,3,0,4,3,16,1,60,65,51,4,24,4,233,234,174,0,0,3,4,5.333,0,0,0,0,0.25,3,0,1,0.75,4,RB,NO,0,0,0,0,3,10,3,2,2,17,0,18,43,29,12,17,5,47,145,85,0,0,3.333,8.5,8.5,0,0,0,0,0.6,3.333,0.6,0.4,0.4,3.4,8.625,0.145,0.014
00-0030035,Adam Thielen,2019,0,0,0,0,0,0,0,0,0,0,4,6,1,0,1,30,48,418,6,586,117,18,84.4,114.4,10,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0.1,0,0.1,-0.098,3,4.8,41.8,0.6,58.6,11.7,1.8,0,0.744,0.202,0.319,0.525,8.44,11.44,WR,1,NA,NA,NA,NA,NA,NA,NA,0.454,1.196,-0.099,0.933,-0.357,0.414,0.104,0.042,0.188,0.292,0.125,0.25,NA,NA,NA,225,1.86,WR,MIN,0,0,0,0,2,3,0,13,11,177,5,122,91,61,13,21,8,250,185,121,0,0,1.5,13.615,16.091,0,0,0,0,0.25,1.5,0,1.625,1.375,22.125,WR,MIN,0,0,0,0,2,3,1,20,12,159,9,28,67,36,11,26,8,52,142,84,0,0,1.5,7.95,13.25,0,0,0,0,0.25,1.5,0.125,2.5,1.5,19.875,22.5,0.213,0.08
00-0030061,Zach Ertz,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,135,916,6,1179,255,50,127.6,215.6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.867,9,61.067,0.4,78.6,17,3.333,0.067,0.804,0.238,0.281,0.553,8.507,14.373,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,1.69,TE,PHI,0,0,0,0,0,0,0,57,35,368,13,233,221,143,24,60,15,251,237,154,0,0,0,6.456,10.514,0,0,0,0,0,NA,0,3.8,2.333,24.533,TE,PHI,0,0,0,0,0,0,0,29,18,198,15,46,154,81,29,64,14,49,180,95,0,0,0,6.828,11,0,0,0,0,0,NA,0,2.071,1.286,14.143,36.2,0.249,0.092
00-0030068,Marquise Goodwin,2019,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,12,21,186,1,281,33,10,26.1,38.1,8,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1.875,0,0,0.125,0.134,1.5,2.625,23.25,0.125,35.125,4.125,1.25,0,0.557,0.087,0.186,0.26,3.263,4.763,WR,NA,NA,NA,NA,NA,NA,NA,NA,1.875,-0.743,-1.618,-0.186,1.148,0.306,0.238,0.048,0.048,0.19,0.095,0.381,NA,NA,NA,131,1.42,WR,SF,0,0,0,0,0,0,0,9,5,80,3,133,90,54,16,29,7,282,179,115,0,0,0,8.889,16,0,0,0,0,0,NA,0,1.286,0.714,11.429,WR,SF,0,0,0,0,0,0,0,3,2,20,2,12,36,20,5,15,3,57,143,90,0,0,0,6.667,10,0,0,0,0,0,NA,0,1,0.667,6.667,16.375,0.16,0.076
00-0030085,Kenny Stills,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,561,4,576,144,27,80.1,120.1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.077,4.231,43.154,0.308,44.308,11.077,2.077,0,1.007,0.136,0.183,0.333,6.162,9.238,WR,NA,NA,NA,NA,NA,NA,NA,NA,2.561,0.811,1.66,0.957,-0.011,0.184,0.073,0.091,0.073,0.109,0.364,0.291,NA,NA,NA,373,1.5,WR,HOU,0,0,0,0,0,0,0,15,12,176,6,151,130,79,20,35,10,259,199,123,0,0,0,11.733,14.667,0,0,0,0,0,NA,0,1.5,1.2,17.6,WR,HOU,0,0,0,0,0,0,0,18,13,189,9,24,92,53,13,35,10,41,152,91,0,0,0,10.5,14.538,0,0,0,0,0,NA,0,1.8,1.3,18.9,28.692,0.147,0.072
00-0030089,Luke Willson,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,79,0,72,38,5,7.9,15.9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,1.667,13.167,0,12,6.333,0.833,0,0.98,0.056,0.045,0.116,1.317,2.65,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1.04,TE,SEA,0,0,0,0,0,0,0,3,3,28,1,58,39,28,7,17,3,258,217,136,0,0,0,9.333,9.333,0,0,0,0,0,NA,0,1,1,9.333,TE,SEA,0,0,0,0,0,0,0,3,3,30,2,0,18,9,0,6,2,49,151,80,0,0,0,10,10,0,0,0,0,0,NA,0,1.5,1.5,15,12.667,0.132,0.066
